axis_level,backtr_vectorized_max_abs_diff_vs_reference,crps_vs_analytic_rel_err_sgs,crps_vs_analytic_rel_err_rbf_bootstrap,crps_vs_analytic_rel_err_gp_mle
100,0.0,3.154644425367646e-05,0.00010669457883963548,2.2938886599015568e-05
200,0.0,3.4027056270049e-05,0.00012143696036893936,2.3304452790480585e-05
300,0.0,2.844587314428159e-05,0.00010843142020198275,2.5315880851604053e-05
400,0.0,3.112664456782509e-05,0.00012154305393246065,2.5164803625165638e-05
500,0.0,3.4217704992215404e-05,0.00012341022337048843,2.5629461636055992e-05
600,0.0,3.863276154028469e-05,0.00012243164734092375,2.5638346985415966e-05
700,0.0,4.279176711120811e-05,0.00012210760607430038,2.4823035235788794e-05
800,0.0,4.775144531171102e-05,0.00012268388260223368,2.4981362713587125e-05
